Name of Company or Organization,Date of Notification,Date of the Breach,IN Affected,Total Affected
FamilyandSocialServicesAdministration‐DataBreach,7/3/2019,6/28/2019,2,2
FamilyandSocialServicesAdministration‐DataBreach,9/16/2019,9/10/2019,3,3
FarmBureauLifeInsuranceCompanyofMichigan‐DataBreach,2/19/2019,12/19/2018,13,157
FeldEntertainmentInc‐DataBreach,9/5/2019,11/14/2018,1,615
FellowshipofCatholicUniversityStudents‐DataBreach,3/29/2019,1/13/2019,54,1777
FidelityBrokerageServicesLLC‐DataBreach,11/27/2019,10/9/2019,1,1
FidelityNationalFinancialonbehalfofChicagoTitleCompanyLLC‐DataBreach,9/26/2019,8/12/2019,2,2
FieldandMainInsurance‐DataBreach,5/23/2019,3/4/2019,106,296
FindawayInc‐DataBreach,9/3/2019,6/19/2019,2,279
FireKingSecurityGroupLLC‐DataBreach,8/19/2019,2/18/2019,8,153
First AidBeautyLimited‐DataBreach,11/8/2019,4/15/2019,350,"21,486"
FirstAmericanFinancialCorporation‐DataBreach,6/28/2019,,2,32
FirstBankofAlabama‐dataBreach,3/27/2019,9/6/2018,6,"8,700"
FirstCommerceBank‐DataBreach,4/5/2019,5/13/2017,5,2988
FirstMerchantsBank‐DataBreach,,,11,
FirstSavingsBank‐DataBreach,12/19/2018,10/16/2018,2,12
FirstLeaseInc‐DataBreach,2/15/2019,9/6/2018,5,670
FiveBelowInc‐DataBreach,2/14/2019,11/13/2018,1762,"56,102"
FixMyBlinds‐DataBreach,10/15/2019,3/14/2019,320,18743
FlatRockHawcreekSchoolCorporation‐DataBreach,,10/18/2019,1,
FlexCareLLCdbaFlexCareMedicalStaffing‐DataBreach,7/3/2019,3/26/2019,144,"9,639"
flexPATHStrategiesLLC‐DataBreach,3/15/2019,12/7/2018,1379,"91,769"
FloodBumsteadMcCreadyandMcCarthyInc‐DataBreach,5/29/2019,12/7/2018,2,647
FloridaAMUniversityFederalCreditUnion‐DataBreach,7/26/2019,8/29/2018,4,"2,329"
FloridaInternationalUniversity‐DataBreach,3/22/2019,3/12/2019,1,5754
ForefrontDermatology‐DataBreach,,9/5/2019,1,1
ForgeConsultingLLC‐DataBreach,6/27/2019,7/12/2017,5,1095
ForterraPipeandPrecastLLC‐DataBreach,4/2/2019,1/17/2018,1,763
FossilGroupInc‐DataBreach,7/18/2019,5/14/2019,26,"1,393"
FourCountyComprehensiveMentalHealthCenterInc‐DataBreach,7/1/2018,,229,251
FourCountyComprehensiveMentalHealthCenterInc‐DataBreach,,,11,
FourCountyComprehensiveMentalHealthCenterInc‐DataBreach,8/26/2019,8/7/2019,1,1
FourSeasonsFinancialGroupInc‐DataBreach,2/21/2019,11/7/2018,2,2350
FranciscanAllianceInc‐DataBreach,9/16/2019,12/15/2017,2,5
FranciscanAllianceInc‐DataBreach,6/21/2019,12/11/2012,1813,2182
FranciscanAllianceInc‐DataBreach,1/8/2019,10/31/2018,4,4
FranciscanAllianceInc‐DataBreach,6/21/2019,12/11/2012,"1,813","2,182"
FranciscanAllianceInc‐DataBreach,11/25/2019,10/22/2019,3,3
FranciscanAllianceInc‐DataBreach,9/23/2019,6/14/2019,4,4
FranciscanAllianceInc‐DataBreach,10/22/2019,8/1/2019,1,2
FranciscanHealthCrownPoint‐DataBreach,7/26/2019,6/28/2019,1,1
FranciscanHealthCrownPoint‐DataBreach,10/11/2019,9/12/2019,1,1
FranciscanHealthHammond‐DataBreach,10/14/2019,7/3/2019,1,1
FranciscanHealthIndianapolis‐DataBreach,10/25/2019,9/26/2019,1,1
FranciscanHealthMichiganCity‐DataBreach,3/16/2018,1/19/2018,1,1
FranciscanHealthMichiganCity‐DataBreach,11/5/2019,7/29/2019,1,1
FranciscanHospiceCare‐DataBreach,7/22/2019,5/19/2019,1,1
FranciscanPhysicianNetwork‐DataBreach,5/15/2019,3/15/2019,2,2
FranciscanPhysicianNetwork‐DataBreach,3/26/2019,11/26/2018,1,2
FranciscanPhysicianNetwork‐DataBreach,10/2/2019,8/5/2019,1,1
FranciscanPhysicianNetwork‐DataBreach,9/23/2019,9/12/2018,5,5
FranciscanPhysicianNetwork‐DataBreach,10/10/2019,8/2/2019,29,29
FranciscanPhysicianNetwork‐DataBreach,10/21/2019,3/5/2018,1,1
FranciscanPhysicianNetwork‐DataBreach,10/10/2019,6/17/2019,1,1
FranciscanPhysicianNetwork‐DataBreach,4/11/2019,2/18/2019,3,3
FranciscanPhysicianNetwork‐DataBreach,9/9/2019,8/2/2019,2,2
FranciscanPhysicianNetwork‐DataBreach,11/21/2019,7/5/2018,1,1
FranciscanPhysicianNetwork‐DataBreach,10/22/2019,8/1/2019,3,4
FranciscanPhysicianNetwork‐DataBreach,5/20/2019,11/1/2013,5,5
FranciscanAllianceInc‐DataBreach,2/22/2019,12/26/2018,3,3
FriedmanLawGroupLtd‐DataBreach,11/15/2019,10/16/2019,1,38
FusionMedicalStaffingLLC‐DataBreach,7/1/2019,11/3/2018,4,239
GavilonGrainLLC‐DataBreach,8/30/2019,12/1/2015,37,312
GeneralBoardofHigherEducationandMinistry‐DataBreach,5/10/2019,1/25/2019,15,922
GeneralDynamicsInformationTechnology‐DataBreach,12/28/2018,10/31/2018,242,8239
GFSInc‐DataBreach,11/13/2019,8/13/2019,1,"6,110"
GillespiePropertyManagementInc‐DataBreach,3/21/2019,10/1/2018,7,917
GoldenEntertainmentInc‐DataBreach,11/7/2019,5/30/2019,6,"5,815"
GoldenLionOperationsInc‐DataBreach,1/30/2019,6/6/2018,66,3741
GoogleLLC‐DataBreach,,,,
GraetersIceCream‐DataBreach,1/15/2019,6/28/2018,217,"11,030"
GraetersIceCream‐DataBreach,7/23/2019,12/30/2018,122,"6,386"
GrafandSonsInc‐DataBreach,2/6/2019,1/19/2019,34,1243
GraniteStateCollege‐DataBreach,10/16/2019,10/3/2019,1,209
GrantStreetInn‐DataBreach,10/2/2019,9/23/2018,"2,112","4,134"
GrayInc‐DataBreach,8/29/2018,4/1/2018,2,579
GreekOrthodoxArchdioceseofAmerica‐DataBreach,8/5/2019,8/3/2018,2,318
"GreenRoadsofFlorida,LLC‐DataBreach",11/15/2019,7/9/2019,567,"41,422"
GreenstoneFarmCreditServices‐DataBreach,10/25/2019,4/12/2019,27,"6,486"
GrinnellCollege‐DataBreach,3/25/2019,3/7/2019,36,3261
GuggenheimLifeandAnnunityCompany‐DataBreach,10/14/2019,8/29/2019,1,2
HandRBlock‐DataBreach,5/8/2019,3/1/2019,13,359
HCarsonSmithIVPC‐DataBreach,4/5/2019,10/2/2018,3,1465
HallRunnelsPA‐DataBreach,10/25/2019,6/18/2019,1,259
HamiltonCollege‐DataBreach,6/5/2019,3/2/2019,1,141
HamlinBurtonLiabilityManagementInc‐Data Breach,10/21/2019,,42,
HammerNutrition‐DataBreach,12/14/2018,1/1/2018,570,"33,269"
HanoverCollege‐DataBreach,3/1/2019,6/30/2018,78,138
HarlandClarkeCorp‐DataBreach,3/12/2019,1/30/2019,6,230
HarrisAssociatesLP‐DataBreach,4/5/2019,6/4/2018,2,82
HarvestPartnersFinancial‐DataBreach,4/19/2019,,0,6
HauserInc‐DataBreach,6/28/2019,4/30/2019,107,"14,806"
HealthandSafetySciencesLLC‐DataBreach,4/12/2019,11/13/2018,6,128
HealthandHospitalCorporationofMarionCountydbaBrownsburgMeadows‐DataBreach,3/26/2019,3/3/2019,1,1
HealthandHospitalCorporationofMarionCounty‐DataBreach,5/20/2019,4/20/2019,10,10
HealthandHospitalCorporationofMarionCountydbaEastgateManorNursingandRehabilitation‐DataBreach,5/28/2019,4/28/2019,16,16
HealthandHospitalCorporationofMarionCountyDBAForestCreekVillage‐DataBreach,6/11/2019,5/13/2019,11,11
HealthandHospitalCorporationofMarionCountyDBAHeritagePark‐DataBreach,7/1/2019,5/31/2019,1,1
HealthandHospitalCorporationofMarionCounty‐DataBreach,3/13/2019,2/20/2019,1,1
HealthandHospitalCorporationofMarionCountyDBATrailpointVillage‐DataBreach,10/3/2019,9/11/2019,1,1
HealthandHospitalCorporationofMarionCountyDBAWestviewNursingandRehabilitationCenter‐DataBreach,6/21/2019,5/20/2019,1,1
HealthRecoveryServicesInc‐DataBreach,4/5/2019,11/14/2018,3,"20,485"
HealthcareAdministrativePartners‐DataBreach,11/6/2019,6/26/2019,1,200
HeartlandFoodProductsLLC‐DataBreach,1/10/2019,11/19/2018,2,59
HelenofTroyLP‐DataBreach,2/4/2019,11/30/2018,2,203
"Bilbrey, Jennifer",,,,
HendricksRegionalHealth‐DataBreach,,,11,
HendricksRegionalHealth‐DataBreach,5/16/2019,5/2/2019,11,11
HintonBurdickCPAandAdvisors‐DataBreach,6/18/2019,2/5/2019,1,"6,579"
HistoricalEmporiumInc‐DataBreach,5/31/2019,3/2/2019,67,"4,366"
HiteFanningHoneymanLLP‐DataBreach,6/24/2019,6/11/2018,1,78
HomesideFinancialLLC‐DataBreach,8/29/2019,3/27/2019,655,"28,446"
HoodandAssociatesCPAsPC‐DataBreach,6/11/2019,3/12/2019,5,7013
HoosierStampingManufacturingCorporation‐DataBreach,1/11/2019,7/3/2018,18,819
HopeCollege‐DataBreach,4/24/2019,1/19/2019,1,10
HopeCollege‐DataBreach,5/22/2019,4/13/2019,4,78
HotLineConstructionInc‐DataBreach,4/24/2019,10/25/2018,9,2812
Hourglass‐DataBreach,2/15/2019,7/3/2018,139,"9,626"
HPRestaurantGroup‐DataBreach,5/24/2019,10/7/2011,281,"11,184"
HPECapitalManagementIILLC‐DataBreach,1/22/2019,4/1/2018,7,405
HuddleHouseInc‐DataBreach,2/1/2019,8/1/2017,,
HuntMemorialHospitalDistrict‐DataBreach,10/7/2019,5/18/2018,213,"323,832"
HunterWoodsMobileHomePark‐DataBreach,,,,
HyVeeInc‐DataBreach,10/31/2019,11/9/2018,110,
IllinoisGastroenterologyGroupLLC‐DataBreach,11/25/2019,5/20/2019,1,"1,481"
IllinoisHealthandSciencedbaZevacorMolecular‐DataBreach,4/23/2019,11/19/2018,41,68
IMShoppingInc‐DataBreach,6/14/2019,4/24/2019,153,"8,796"
ImageINationTechnologiesInc‐DataBreach,1/30/2019,11/1/2018,"13,231","430,139"
ImpactPartnershipLLC‐DataBreach,7/24/2019,6/1/2019,10,641
ImplantDirectSybronInternationalLLC‐DataBreach,7/5/2019,5/30/2019,180,
IndianaBureauofMotorVehicles‐DataBreach,8/20/2019,8/15/2019,1,1
IndianaBureauofMotorVehicles‐DataBreach,8/1/2019,7/22/2019,1,1
IndianaBureauofMotorVehicles‐DataBreach,9/27/2019,9/26/2019,1,1
IndianaBureauofMotorVehicles‐DataBreach,9/27/2019,9/26/2019,1,1
IndianaBureauofMotorVehicles‐DataBreach,2/1/2019,1/30/2019,1,1
IndianaBureauofMotorVehicles‐DataBreach,3/7/2019,2/22/2019,1,1
IndianaBureauofMotorVehicles‐DataBreach,3/7/2019,2/28/2019,2,2
IndianaBureauofMotorVehicles‐DataBreach,9/16/2019,9/13/2019,1,1
IndianaBureauofMotorVehicles‐DataBreach,,11/27/2018,1,1
IndianaDepartmentofChildServices‐DataBreach,,10/22/2019,18,18
IndianaDepartmentofChildServices‐DataBreach,10/24/2019,10/22/2019,55,
IndianaDepartmentofEnvironmentalManagement‐DataBreach,10/15/2019,10/11/2007,1,1
IndianaDepartmentofEnvironmentalManagement‐DataBreach,10/15/2019,10/11/2007,1,1
IndianaDepartmentofEnvironmentalManagement‐DataBreach,6/4/2019,4/16/2019,1,1
IndianaDepartmentofEnvironmentalManagement‐DataBreach,10/15/2019,10/11/2007,1,1
IndianaDepartmentofEnvironmentalManagement‐DataBreach,,9/12/2007,1,1
IndianaDepartmentofEnvironmentalManagement‐DataBreach,10/15/2019,10/11/2007,1,1
IndianaDepartmentofEnvironmentalManagement‐DataBreach,8/9/2019,7/17/2019,1,1
IndianaDepartmentofEnvironmentalManagement‐DataBreach,11/14/2019,7/18/2019,1,1
IndianaDepartmentofInsurance‐DataBreach,,,,
IndianaDepartmentofWorkforceDevelopment‐DataBreach,7/22/2019,7/16/2019,1,1
IndianaDepartmentofWorkforceDevelopment‐DataBreach,3/4/2019,2/26/2019,2,2
IndianaDepartmentofWorkforceDevelopment‐DataBreach,4/11/2019,4/8/2019,1,1
IndianaDepartmentofWorkforceDevelopment‐DataBreach,8/16/2019,8/7/2019,148,148
IndianaDepartmentofWorkforceDevelopment‐DataBreach,1/11/2019,1/7/2019,1,1
IndianaSecretaryofState‐DataBreach,3/15/2019,3/14/2019,1,1
IndianaStateUniversity‐DataBreach,2/13/2019,10/16/2018,1047,1456
Indiana TrustandInvestmentManagementCompany‐DataBreach,12/2/2019,8/12/2019,"4,326","6,814"
IndianaUniversityHealth‐DataBreach,5/3/2019,3/18/2019,3,3
IndianaUniversityHealthInc‐DataBreach,12/17/2018,12/4/2018,1,1
IndianaUniversityHealthInc‐DataBreach,2/7/2019,11/6/2018,10,10
IndianapolisFireDepartment‐DataBreach,7/16/2019,7/10/2019,"1,265","1,265"
IndianapolisPrivateIndustryCouncildbaEmployIndy‐DataBreach,2/26/2019,2/9/2019,1,1
InmediataHealthGroupLLC‐DataBreach,4/22/2019,,,"39,760"
InstituteforDefenseandBusiness‐DataBreach,7/5/2019,3/4/2019,11,274
Insuramax‐DataBreach,8/23/2019,2/12/2019,20,496
InterContinentalCigarCorporation‐DataBreah,7/5/2019,10/18/2018,59,"2,516"
InternationalEZUpInc‐DataBreach,1/11/2019,5/11/2018,126,6395
InternationalFinanceBank‐DataBreach,7/1/2019,3/1/2019,1,2950
InternationalVaporGroup‐DataBreach,3/12/2019,1/18/2018,179,"7,656"
IntrepidBenefitsColorado‐DataBreach,7/9/2019,2/19/2019,5,2208
IntuitInc‐DataBreach,12/12/2018,11/20/2018,3,3
IntuitInc‐DataBreach,8/29/2019,8/14/2019,1,1
IntuitInc‐DataBreach,2/26/2019,1/29/2019,25,25
IntuitInc‐DataBreach,5/28/2019,4/29/2019,1,1
IntuitInc‐DataBreach,3/12/2019,2/21/2019,6,6
IntuitInc‐DataBreach,7/26/2019,3/21/2019,20,20
IntuitInc‐DataBreach,2/7/2019,1/11/2019,1,1
IntuitInc‐DataBreach,4/16/2019,4/7/2019,15,15
IntuitInc‐DataBreach,3/26/2019,3/11/2019,7,7
IntuitInc‐DataBreach,5/9/2019,4/1/2019,2,2
IntuitInc‐DataBreach,11/12/2019,6/20/2019,2,2
IntuitInc‐DataBreach,7/2/2019,6/3/2019,1,1
IntuitInc‐DataBreach,7/1/2019,6/2/2019,1,1
IntuitInc‐DataBreach,11/8/2019,7/3/2019,4,4
iSalusHealthcare‐DataBreach,,,,
IUHealthAdvancedHeartLungCare‐DataBreach,,,,
IvyRehabNetwork‐DataBreach,11/26/2019,5/1/2019,"3,179",
IvyTechCommunityCollege‐DataBreach,,5/23/2019,58,127
JAGlynnCo‐DataBreach,,4/11/2019,10,"1,491"
JacksonNationalLifeInsuranceCompany‐DataBreach,6/7/2019,4/1/2019,"1,026","31,170"
TheDamienCenter,,,,
JamesAScottSonInc‐DataBreach,10/2/2019,2/5/2019,1,"1,550"
JamesPerseEnterprisesInc‐DataBreach,3/13/2019,2/9/2019,1,684
JANDIncdbaWarbyParker‐DataBreach,12/20/2018,9/25/2018,454,"197,986"
JeepCountryFederalCreditUnion‐DataBreach,2/8/2019,1/28/2019,1,756
JeffDavisBancsharesInc JDBank‐DataBreach,6/17/2019,2/19/2019,19,"39,827"
JensenEnterprisesIncdbaJensenPrecast‐DataBreach,1/11/2019,8/23/2018,1,2600
JobscienceInc‐DataBreach,4/4/2019,4/1/2018,1067,"1,750,302"
JocorEnterprisesLLCdbaVolcanoeCigs‐DataBreach,4/16/2019,2/13/2019,31,1998
JoFitLLC‐DataBreach,8/5/2019,1/18/2019,40,"4,358"
JohnHancockFinancialNetwork‐DataBreach,3/22/2019,8/15/2018,120,777
JuniataCollege‐DataBreach,11/1/2019,3/12/2019,5,"1,170"
KahnDeesDonovanKahnLLP‐DataBreach,8/9/2019,1/11/2019,2,2
KalamazooCollegeBookstore‐DataBreach,6/10/2019,4/13/2019,1,32
KatzSapperandMiller‐DataBreach,2/8/2019,11/11/2018,"5,766","9,666"
KearnsBrinenMonaghan‐DataBreach,10/1/2019,10/15/2018,3,444
KenraProfessional‐DataBreach,4/3/2019,3/4/2019,418,969
KentuckyYouthAdvocatesInc‐DataBreach,,,,
KestlerFinancialGroupInc‐DataBreach,11/6/2019,8/7/2019,4,243
KestraInvestmentServicesLLC‐DataBreach,12/20/2018,11/1/2018,231,4972
KeyWestHotelsLLC‐DataBreach,4/1/2019,2/7/2018,,"18,000"
KindelFurnitureCompany‐DataBreach,11/15/2019,4/23/2019,8,14
KolbrennerandAlexanderLLC‐DataBreach,7/1/2019,2/28/2019,7,2623
KPRSConstructionServicesInc‐DataBreach,11/22/2019,3/14/2019,1,825
KSKolbenschmidtInc‐DataBreach,,,,
LandMFleetSupplyInc‐DataBreach,4/23/2019,12/5/2018,100,4952
LMSupplyInc‐DataBrach,10/23/2019,7/29/2019,18,665
LafayetteRegionalRehabHospital‐DataBreach,4/15/2019,10/8/2018,301,7037
LancasterArcherySupplyInc‐DataBreach,4/25/2019,7/4/2018,"1,056","53,345"
LCPTransportationLLC‐DataBreach,1/1/2019,7/29/2018,"70,000","70,000"
LeaflyHoldingsInc‐DataBreach,10/10/2019,,,
Legg Mason‐DataBreach,11/1/2019,9/18/2019,2,22
LevyPremiumFoodserviceLimitedPartnership‐DataBreach,10/11/2019,9/27/2019,1,50
Lewis Wagner LLP‐DataBreach,11/5/2019,8/25/2019,3,3
LifeEquityLLC‐DataBreach,3/27/2019,11/13/2018,2,361
LifeMarkSecuritiesCorp‐DataBreach,11/19/2019,8/3/2019,117,"10,879"
LincolnFinancialGroup‐DataBreach,11/18/2019,10/23/2019,1,25
LincolnFinancialGroup‐DataBreach,5/15/2019,5/8/2019,1,1
LincolnFinancialGroup‐DataBreach,2/21/2019,12/19/2018,7,1836
LincolnFinancialGroup‐DataBreach,12/31/2018,12/11/2018,2,2
LittleRockCancerClinicPA‐DataBreach,3/11/2019,1/10/2019,2,3078
LittleSistersofthePoor‐DataBreach,,,,
LogansportMemorialHospital‐DataBreach,5/23/2019,2/22/2019,172,172
LogansportMemorialHospital‐DataBreach,3/14/2019,2/21/2019,99,3
LogansportMemorialHospital‐DataBreach,9/6/2019,8/15/2019,2,2
LoungeflyLLC‐DataBreach,4/26/2019,9/19/2018,33,4562
LPLafayetteLLC‐DataBreach,1/10/2019,11/18/2018,1,1
LPLFinancialLLC‐DataBreach,12/19/2018,11/26/2018,1,1
LPRConstruction‐DataBreach,2/25/2019,3/1/2018,3,1463
LubbockChristianUniversity‐DataBreach,11/22/2019,11/5/2003,5,5118
LudusLLC‐DataBreach,7/9/2019,1/1/2019,1,"3,671"
LutheranLifeCommunities‐DataBreach,1/28/2019,12/5/2018,731,4799
LyonsCompanies‐DataBreach,8/23/2019,2/4/2019,7,8002
Macyscom‐DataBreach,11/14/2019,10/7/2019,"1,916","135,152"
MaddoxElectricCompanyInc‐DataBreach,7/17/2019,5/17/2019,6,"1,334"
MadisonCountyCommunityHealthCenter‐DataBreach,,,,
MainStreetAmericaGroup‐DataBreach,3/8/2019,9/22/2018,3,502
MainStreetClinicalAssociatesPA‐DataBreach,11/8/2019,7/15/2019,4,"3,031"
MainStreetInsuranceGroup‐DataBreach,10/8/2019,5/17/2019,3,"2,248"
MajorisHealthSystemsInc‐DataBreach,9/20/2019,7/24/2019,1,"13,120"
MannheimSchoolDistrict83‐DataBreach,9/19/2019,8/29/2019,1,583
ManningandAssociatesCertifiedPublicAccountantsLLC‐DataBreach,2/22/2019,1/14/2019,37,1700
ManningSilvermanCompany‐DataBreach,6/6/2019,1/16/2019,5,2057
MansfieldEnergyCorp‐DataBreach,7/31/2019,4/22/2019,78,"1,121"
MarathonPetroleumCompanyLP‐DataBreach,4/8/2019,11/28/2018,86,1287
marchFIRST‐DataBreach,12/27/2018,8/7/2018,75,"2,123"
MaritimeAssociationILAPensionRetirementWelfareandVacationFunds‐DataBreach,2/19/2019,11/19/2018,4,"49,917"
MarketStreetTrustCompany‐DataBreach,8/20/2019,7/23/2019,2,136
MarksAssociates‐DataBreach,8/12/2019,11/1/2018,1,"1,600"
MarquetteManagement‐DataBreach,2/7/2019,10/3/2018,71,1917
MarriottInternational‐DataBreach,11/11/2019,8/1/2019,2,"2,589"
MyersAutoworld,,,,
MartinUniversity‐DataBreach,9/11/2019,9/5/2019,40,40
MarylandInstituteCollegeofArt‐DataBreach,3/27/2019,9/28/2018,3,340
MassachusettsMutualLifeInsuranceCompany‐DataBreach,3/27/2019,3/4/2019,1,1
MatrixSciences‐DataBreach,8/6/2019,1/1/2019,3,59
MBFinancialBankNA‐DataBreach,3/21/2019,6/21/2017,5,379
McAlistersCorporationMoesStoresLLCSchlotzskysStoresLLC‐DataBreach,10/2/2019,4/11/2019,,
Eskenazi Hospital,,,,
McLarenHealthCare‐DataBreach,5/23/2019,5/3/2019,2,125
McNeilCompanyInc‐DataBreach,8/23/2019,3/27/2019,14,"2,485"
MediantCommunicationsInc‐DataBreach,5/31/2019,4/1/2019,3552,"204,812"
MedicalCollegeofWisconsin‐DataBreach,8/14/2019,3/22/2019,12,995
MedicalInnovationsLLC‐DataBreach,,,,
MercerGlobalAdvisorsInc‐DataBreach,3/20/2019,12/6/2018,8,239
MercyHealthCorporation‐DataBreach,1/7/2019,5/8/2018,1,899
MeridianCommunityCollege‐DataBreach,9/5/2019,1/30/2019,1,"1,475"
MerrickBankCorporation‐DataBreach,4/12/2019,3/8/2019,68,2612
MetropolitanLifeInsuranceCompany‐DataBreach,6/6/2019,2/1/2019,1,1
MGMResortsInternational‐DataBreach,9/5/2019,7/7/2019,6,"46,542"
MicroMomScootersLLCdbaMicroKickboard‐DataBreach,6/27/2019,3/14/2019,40,"4,407"
MiddleTennesseeSchoolofAnesthesia‐DataBreach,2/14/2019,1/1/2012,28,2400
MikhailEducationCorporation‐DataBreach,4/12/2019,3/20/2019,2,2237
MillerKaplanAraseLLP‐DataBreach,7/10/2019,3/22/2019,10,"7,916"
MillerPoultry‐DataBreach,6/19/2019,9/1/2018,303,338
DukeEnergy,,,,
MissionHealth‐DataBreach,10/11/2019,3/27/2016,6,"4,521"
MissouriSouthernStateUniversity‐DataBreach,6/13/2019,1/9/2019,41,"12,574"
MitsubishiTurbochargerandEngineAmericaInc‐DataBreach,5/10/2019,11/7/2018,19,19
MMBBFinanicalServices‐Databreach,4/30/2019,9/11/2018,6,108
UnknownRespondent,,,,
MooreCollegeofArtandDesign‐DataBreach,2/5/2019,1/30/2019,2,677
MorganDistributionInc‐DataBreach,2/19/2019,1/6/2019,14,17
MorningPointec/oDataFactsInc‐DataBreach,1/18/2019,10/19/2018,1,52
MortgageSpecialistofIndianaCompany‐DataBreach,,,,
MowerySchoenfeldLLC‐DataBreach,10/16/2019,1/1/2019,45,280
MrLandlord.com‐DataBreach,5/28/2019,4/20/2019,12,334
MuskegonCarCreditInc‐DataBreach,4/11/2019,2/1/2019,2,133
MutualofOmahaInsuranceCompany‐DataBreach,10/21/2019,9/2/2019,3,470
MWBanksConsultingLLC‐DataBreach,8/13/2019,7/1/2019,22,22
NationalAviationAcademy‐DataBreach,6/17/2019,8/1/2018,3,"1,033"
NationalBaseballHallofFameandMuseum‐DataBreach,8/2/2019,11/15/2018,78,"5,746"
NationalCouncilofStateBoardsofNursing‐DataBreach,2/20/2019,,1,1282
NationalSeatingandMobilityInc‐DataBreach,4/29/2019,2/14/2019,1,3838
NationalWildlifeFederation‐DataBreach,5/24/2019,1/3/2019,1026,"47,343"
NationwideChildrensHospital‐DataBreach,2/22/2019,12/24/2018,1,34
NCHCorporation‐DataBreach,1/25/2019,1/1/2016,91,4171
NCHHealthcareSystemInc‐DataBreach,8/16/2019,6/5/2019,2,57
NelnetLoanServicing‐DataBreach,,10/18/2019,9,301
NespressoUSAInc‐DataBreach,11/26/2019,8/1/2019,2,939
NewAgeMediaDBAAll AmericanEntertainment‐DataBreach,9/23/2019,2/10/2019,3,486
NewBitVenturesLTD‐DataBreach,2/20/2019,12/9/2018,"4,774","150,000"
NEXTFinancialGroupInc‐DataBreach,10/22/2019,9/24/2019,2,478
NidecMotorCorporation‐DataBreach,6/7/2019,6/16/2018,40,"2,423"
North40Outfitters‐DataBreach,2/14/2019,2/2/2018,255,"18,957"
NorthLawrenceCommunitySchools‐DataBreach,1/14/2019,11/1/2018,487,487
NorthernSuburbanSpecialEducationDistrict804‐DataBreach,3/8/2019,1/30/2019,1,758
NorthwesternHealthSciencesUniversity‐DataBreach,5/21/2019,10/16/2018,6,3499
NorthwoodInc‐DataBreach,7/12/2019,5/3/2019,995,"86,050"
NovaSoutheasternUniversity‐DataBreach,1/25/2019,9/1/2018,3,4681
NSCPearsonInc‐DataBreach,7/19/2019,11/30/2018,,
NTCATheRuralBroadbandAssociation‐DataBreach,8/23/2019,4/3/2019,"1,064","25,365"
NussliUSLLC‐DataBreach,1/4/2019,12/4/2018,93,120
OberlinCollege‐DataBreach,7/12/2019,3/5/2019,19,"1,816"
OfficeInteriorsInc‐DataBreach,6/27/2019,1/10/2019,11,31
FamilyandSocialServicesAdministration‐DataBreach,6/4/2019,6/3/201911,,
OfficeofIndianaAttorneyGeneral‐DataBreach,9/19/2019,9/11/2019,1,1
OfficeoftheIndianaAttorneyGeneral‐DataBreach,2/26/2019,2/23/2019,2,2
OhioRuralElectricCooperativesIncBuckeyePowerInc‐DataBreach,3/15/2019,2/14/2019,14,1227
OlssonInc‐DataBreach,8/6/2019,7/19/2019,3,"3,949"
OlympicSteelInc‐DataBreach,5/22/2019,4/24/2019,1,28
OnCourseLearningCorporation‐DataBreach,3/8/2019,6/11/2018,42,"5,600"
OneMainFinancial‐DataBreach,3/21/2019,7/21/2012,3,465
ORNursesCredentialingDataFactsInc‐DataBreach,1/18/2019,10/19/2018,195,
OrionRealEstateServices‐DataBreach,3/12/2019,2/19/2019,1,982
OrthoClinicalDiagnosticsInc‐DataBreach,4/5/2019,3/8/2019,1,12
OrthoAccelTechnologiesInc‐DataBreach,10/9/2019,12/4/2018,3,298
OSInconbehalfofMassacMemorialHospital‐DataBreach,5/3/2019,10/15/2018,1,1406
GrantCountyRescueMission,,,,
PacersSportsandEntertainment‐DataBreach,5/10/2019,10/15/2018,54,127
"Anderson, Christina M.",,,,
PalmettoHealth‐DataBreach,3/29/2019,11/15/2018,2,"23,811"
PARElecrticalContractorsInc‐DataBreach,6/27/2019,9/27/2018,38,982
