BUSINESS NAME,START OF BREACH,END OF BREACH,DATE REPORTED,MONTANANS AFFECTED
Bankers Life,5/30/2018,9/13/2018,10/25/2018,44
"Fruitful Yield, Inc. (NOW-2-U.com, VitaminExperts.com, FruitfulYield.com)",5/29/2018,6/13/2018,7/11/2018,3
Rennline Automotive,05/28/2018,01/18/2019,02/21/2019,4
JA Carpentry,5/28/2018,5/28/2018,7/31/2018,1
SureFire,5/28/2018,7/22/2018,8/19/2018,10
Monroe Capital holdings LLC (Newport Academy),5/27/2018,6/20/2018,8/17/2018,1
"Dollar Shave Club, Inc.",5/26/2018,6/25/2018,7/16/2018,1
Cain Watters & Associates,05/25/2018,06/28/2018,08/15/2018,1
"Humana (Availity, LLC)",05/24/2018,11/08/2018,02/25/2019,3
Earl Enterprises,05/23/2018,03/18/2019,03/29/2019,Unknown
Boys Town National Research HOspital,5/23/2018,5/23/2018,7/20/2018,15
Boys Town National Research Hospital,5/23/2018,5/23/2018,7/20/2018,15
Rebound Orthopedics & Neurosurgery,5/22/2018,5/22/2018,10/05/2018,2
Stein Mart,05/19/2018,7/09/2018,9/09/2018,2
Notre Dame de Namur University,5/18/2018,5/18/2018,6/20/2018,1
Joint Resources Commission,5/17/2018,5/17/2018,8/28/2018,1
The Affiliated Group,5/16/2018,5/16/2018,9/18/2018,21
Securus Technologies,5/15/2018,5/16/2018,6/08/2018,5
Billings Clinic,5/14/2018,5/14/2018,8/06/2018,4
Paysafe Group Holdings Limited,05/13/2018,11/24/2020,12/18/2020,218
Texas VSI LLC,5/12/2018,09/17/2018,03/13/2019,1
StataCorp,5/11/2018,7/06/2018,11/13/2018,165
"International E-Z UP, Inc.",5/11/2018,8/02/2018,1/11/2019,32
Pharmacy Times Office of Continuing Professional Education (PTCE),5/11/2018,7/06/2018,2/06/2019,171
"Elmcroft Senior Living, Inc.",5/10/2018,5/12/2018,6/08/2018,18
North American Power & Gas,5/10/2018,07/31/2018,8/03/2018,4
Emerson Hospital,5/09/2018,05/17/2018,3/08/2019,2
"Cactus Wellhead, LLC",5/09/2018,5/09/2018,5/17/2018,1
Title Nine,5/09/2018,7/09/2018,9/07/2018,8
Advocate Sherman Hospital,5/08/2018,8/01/2018,3/08/2019,2
El Centro Regional Medical Center (ECRMC),5/08/2018,5/11/2018,11/16/2018,5
Infinera Corporation,5/08/2018,6/08/2018,12/27/2018,1
"City of Goodyear, Arizona",5/07/2018,5/07/2018,06/19/2018,10
St. Joseph's Medical Center,5/06/2018,5/22/2018,8/31/2018,1
Florida Keys Community College,5/05/2018,11/05/2018,02/27/2019,1
"CBIZ MHM, LLC",5/02/2018,5/23/2018,7/18/2018,1
Holtey Law,5/02/2018,5/03/2018,8/30/2018,1
Cancer Treatment Centers of America (CTCA),5/02/2018,5/05/2018,11/26/2018,190
Hunt Regional Healthcare,5/01/2018,05/14/2019,10/07/2019,40
Rush University Medical Center,5/01/2018,01/22/2019,02/28/2019,Unknown
"Terteling Company, Inc. (Western States Equipment Company, Agri-Service, LLC, 36th Street Garden Center & Bistro, Red Horse Mountian Ranch",5/01/2018,5/10/2018,6/22/2018,381
Tallahassee Memorial Healthcare,5/01/2018,05/31/2018,10/17/2018,2
R.R. Bowker LLC (Bowker),5/01/2018,10/23/2018,11/20/2018,48
Farmer Bros. Co.,5/01/2018,9/24/2018,12/11/2018,28
Westminster College,5/01/2018,7/21/2018,12/28/2018,4
Delta Pilots Mutual Aid,4/29/2018,6/12/2018,9/11/2018,6
Old Second National Bank,4/27/2018,4/27/2018,6/11/2018,1
Trust Company of Illinois (TCI),4/27/2018,4/27/2018,6/29/2018,3
Farmgirl Flowers,4/26/2018,4/29/2018,5/09/2018,8
"International Management Advisors, Ltd.",4/26/2018,5/08/2018,5/18/2018,4
"Macy's, Inc.",4/26/2018,6/12/2018,7/02/2018,136
DigiPen Institute of Technology,4/25/2018,4/25/2018,5/07/2018,1
"Wilkins, Reinicke & Co., P.C.",4/24/2018,4/24/2018,6/08/2018,3
Dignity Health,4/24/2018,4/24/2018,6/13/2018,9
Carpenters Benefit Funds,04/23/2018,5/03/2018,9/10/2018,4
Black River Medical Center,4/23/2018,4/23/2018,6/13/2018,1
British Airways,4/21/2018,10/25/2018,10/26/2018,20
"ComplyRight, Inc.",4/20/2018,5/22/2018,7/12/2018,"1,730"
Helly Hansen (hellyhansen.com),4/20/2018,5/14/2018,7/19/2018,4
"New York Oncology Hematology, P.C. (NYOH)",4/20/2018,4/27/2018,11/16/2018,7
"Stoneleigh Recovery Association, LLC",4/19/2018,4/19/2018,7/20/2018,1
Seterus,4/18/2018,4/18/2018,5/10/2018,2
"Uno Alla Volta, LLC",4/18/2018,5/01/2018,5/29/2018,4
Solera National Bank,4/18/2018,5/04/2018,6/26/2018,5
SunTrust Bank,4/15/2018,4/15/2018,5/02/2018,29
Fairbanks North Star Borough (GHAP),4/14/2018,4/14/2018,7/20/2018,16
TKC Holdings,4/13/2018,5/24/2018,8/24/2018,7
"TaskRabbit, Inc.",4/12/2018,4/19/2018,5/09/2018,"3,908"
The Hartford,4/12/2018,4/12/2018,5/29/2018,1
"OFD Foods, LLC.",4/12/2018,5/16/2018,6/14/2018,3
"HealthEquity, Inc.",4/11/2018,4/13/2018,6/13/2018,8
International Mission Board (IMB),4/11/2018,4/11/2018,7/05/2018,189
STL International (Teeter),4/11/2018,9/13/2018,10/22/2018,62
Salter Labs,4/09/2018,4/09/2018,8/27/2018,3
Another Planet Entertainment,4/09/2018,4/09/2018,9/27/2018,5
"shopPOPdisplays, Inc.",4/08/2018,5/14/2018,6/11/2018,3
"Capitol Law Group, PLLC",4/08/2018,5/13/2018,12/20/2018,1
Optoma Technology,4/06/2018,4/12/2018,7/23/2018,6
Marion County Bank,4/05/2018,4/05/2018,6/12/2018,1
Garretson Resolution Group,4/04/2018,5/04/2018,8/30/2018,3
Royal Caribean Cruises LTD,4/04/2018,9/13/2018,12/06/2018,1
NorthStar Anesthesia,4/03/2018,4/24/2018,6/20/2018,1
"Quad-C Management, Inc.",4/01/2018,4/30/2018,6/07/2018,2
"Gray, Inc.",4/01/2018,8/17/2018,8/29/2018,1
Roadrunner Transportation Services,4/01/2018,4/30/2018,9/10/2018,16
VenatoRX,4/01/2018,8/01/2018,9/12/2018,1
Kalispell OB/GYN Associates,4/01/2018,11/28/2018,12/11/2018,1
"Bearing Distributors, Inc. (BDI)",3/30/2018,3/30/2018,4/06/2018,4
MedEvolve,3/29/2018,5/04/2018,7/10/2018,13
Plant Therapy,3/29/2018,5/11/2018,7/30/2018,55
Colorado Bankers Life Insurance Company,03/28/2018,04/13/2018,8/03/2018,129
Nardella & Taylor,3/27/2018,3/29/2018,9/07/2018,12
"Melissa James, EA, LLC",3/26/2018,3/26/2018,5/09/2018,1
CashNetUSA,3/23/2018,3/23/2018,4/27/2018,4
"Medical Clinic of Houston, L.L.P.",3/23/2018,3/23/2018,5/22/2018,1
"Med Associates, Inc.",3/22/2018,3/22/2018,6/14/2018,6
"Aimbridge Hospitality Holdings, LLC",3/21/2018,5/03/2018,6/07/2018,527
Malley's Chocolates,3/18/2018,3/18/2018,5/07/2018,1
TIAA,3/16/2018,3/16/2018,4/17/2018,1
Blue Beacon International,3/15/2018,3/15/2018,4/06/2018,5
"Inogen, Inc.",3/14/2018,3/14/2018,4/13/2018,182
211 LA County,3/14/2018,4/23/2018,7/05/2018,8
UnityPoint,3/14/2018,4/03/2018,7/30/2018,144
MCR Investors LLC,3/11/2018,3/11/2018,4/23/2018,140
"USACS Management Group, Ltd.",3/09/2018,3/09/2018,5/08/2018,1
The Oregon Clinic,3/09/2018,3/09/2018,5/23/2018,12
Employee Benefits Corporation,3/07/2018,3/07/2018,5/22/2018,4
"RM Mechanical, Inc.",3/04/2018,3/05/2018,5/23/2018,8
Dover Business Services (DBS),3/02/2018,3/02/2018,3/09/2018,1
Community First Bank,3/02/2018,3/02/2018,3/20/2018,1
Bank of the West,3/02/2018,3/19/2018,8/20/2018,4
Brinker International (Chili's),3/01/2018,4/30/2018,5/18/2018,Unknown
Sunspire Health,3/01/2018,5/17/2018,7/27/2018,10
Warn Industries Inc,02/28/2018,12/13/2018,03/22/2019,2
Phillip Capital Inc,02/28/2018,02/28/2018,02/21/2019,26
SA Stone Wealth,2/28/2018,2/28/2018,4/30/2018,2
The Travel Corporation (TravelCorp),2/26/2018,2/26/2018,3/09/2018,1
Lockton Companies,2/26/2018,4/26/2018,6/29/2018,1
Intuit inc,2/25/2018,2/25/2018,3/14/2018,1
Capital Digestive Care,2/23/2018,2/23/2018,4/23/2018,3
Clarfeld Financial Advisors,2/22/2018,2/22/2018,3/09/2018,5
Association for Supervision and Curriculum Development (ASCD),2/21/2018,2/21/2018,2/27/2018,1
Archbright,2/21/2018,2/21/2018,4/06/2018,2
"CNU Online Holdings, LLC d/b/a Net Credit",2/20/2018,2/20/2018,3/08/2018,6
"Pierre Fabre (PF@-Com, Inc.)",2/20/2018,3/15/2018,4/11/2018,7
LPL Financial LLC,2/20/2018,2/28/2018,4/30/2018,3
"Kings & Associates CPA, PC",2/16/2018,2/16/2018,3/23/2018,1
"Exude, Inc. d/b/a Exude Benefits Group",2/15/2018,4/12/2018,12/14/2018,1
TerraSond Limited,2/14/2018,2/14/2018,7/10/2018,1
Badger Daylighting LTD,2/13/2018,2/13/2018,3/05/2018,4
"St. Mary's Health, Inc. d/b/a St. Vincent Evansville",2/12/2018,02/15/2018,05/31/2018,7
Career and Technology Education Centers of Licking County (C-TEC),2/12/2018,2/12/2018,7/06/2018,2
Branton de Jong and Associates,2/11/2018,2/26/2018,3/27/2018,1
"Blattner Energy, Inc.",2/09/2018,2/09/2018,4/30/2018,17
"Temecula Motorsports, Inc.",2/09/2018,3/30/2018,5/31/2018,9
Peaceful Valley Family Farm,2/09/2018,8/22/2018,9/12/2018,155
Key West Hotels LLC,2/07/2018,12/13/2018,2/02/2019,1
Food Industry Self Insurance Fund,2/07/2018,2/07/2018,3/08/2018,1
Movement Mortgage LLC,2/07/2018,3/27/2018,8/31/2018,17
North American Risk Services,2/07/2018,3/27/2018,10/05/2018,10
Prudential Insurance Company of America,2/06/2018,9/12/2018,12/27/2018,23
University of Wisconsin-Superior,2/05/2018,2/05/2018,2/22/2018,7
"SOS International, LLC",2/05/2018,5/18/2018,6/28/2018,2
San Diego Hardware,2/05/2018,8/21/2018,12/05/2018,80
Tousley Brain Stephens,2/04/2018,2/26/2018,8/31/2018,1
North 40 Outfitters,2/02/2018,02/22/2019,02/14/2019,"1,314"
"Beachbody, LLC",2/02/2018,2/02/2018,3/02/2018,3
Doyle & Associates,2/02/2018,4/20/2018,8/01/2018,469
"Creation Entertainment, Inc",2/01/2018,10/10/2018,08/26/2019,90
Washington Department of Health,2/01/2018,02/28/2018,6/03/2019,2
Stanwich Mortgage Loan Trust,2/01/2018,01/31/2019,2/12/2019,148
Capital Integration Systems LLC (CAIS),2/01/2018,3/15/2018,6/22/2018,1
Jennifer Miller Ltd.,2/01/2018,7/15/2018,11/12/2018,2
University of Alaska System,01/31/2018,02/15/2018,6/05/2019,36
ASI Construction LLC,1/31/2018,1/31/2018,3/02/2018,7
Northwest Asset Management,1/31/2018,2/23/2018,3/23/2018,2
"Medical Science and Computing, LLC",1/29/2018,1/29/2018,2/13/2018,2
"Walmart, Inc.",1/29/2018,1/29/2018,2/22/2018,5
Lincoln Financial Group,1/29/2018,2/09/2018,4/03/2018,2
"Corporate Employment Resources, Inc.",1/26/2018,1/26/2018,2/08/2018,4
Thomas Edison State University,1/26/2018,1/26/2018,2/13/2018,1
Nelson CPA,1/26/2018,1/26/2018,2/26/2018,2
Equity Concepts,1/24/2018,9/11/2018,11/29/2018,1
Mendes & Haney LLP,1/23/2018,2/26/2018,3/30/2018,6
PACCAR,1/22/2018,1/22/2018,2/14/2018,1
Curtin Maritime Corp,1/22/2018,1/22/2018,3/05/2018,2
"Crius Energy, LLC",1/22/2018,1/22/2018,5/18/2018,1
Nampa School District,1/21/2018,2/01/2018,3/14/2018,13
Potomac Healthcare Solutions,01/20/2018,06/18/2018,11/28/2018,1
International Vapor Group,01/19/2018,6/30/2018,3/12/2019,29
Bed Bath & Beyond,1/18/2018,1/18/2018,2/21/2018,200
Centris Federal Credit Union,1/18/2018,1/18/2018,3/01/2018,5
GY Agemni LLC,1/18/2018,1/18/2018,3/16/2018,3
Skamania Public Utility District,1/17/2018,3/09/2018,3/16/2018,1
University of Toledo,1/16/2018,1/16/2018,5/16/2018,2
DiLorenzo CPA,1/13/2018,2/13/2018,3/09/2018,7
Ameriprise Financial,1/12/2018,1/12/2018,2/06/2018,1
"Coty, Inc.",1/12/2018,2/08/2018,7/06/2018,6
Deephaven Mortgage LLC,1/10/2018,3/25/2018,5/08/2018,2
"Equias Alliance, LLC",1/10/2018,2/08/2018,5/08/2018,3
"ATI Holdings, LLC",1/09/2018,3/15/2018,6/21/2018,5
ABM Industries Incorporated,1/08/2018,8/07/2018,07/19/2019,13
St. Peter's Ambulatory Surgery Center,1/08/2018,1/08/2018,2/28/2018,1
HealthFitness,1/08/2018,12/31/2017,10/05/2018,123
Country Mutual Insurance Company (Country Financial),1/05/2018,1/05/2018,2/23/2018,1
Cary E. Williams CPA,1/05/2018,2/02/2018,3/02/2018,2
Chapman Mortgage Services (Motto Mortgage of Billings),1/04/2018,1/18/2018,2/15/2018,19
Chopra Enterprises LLC,1/02/2018,2/22/2018,3/06/2018,3
Hammer Nutrition,1/01/2018,10/31/2018,12/14/2018,516
Health Quest Medical Practice (HQMP),1/01/2018,06/30/2018,1/10/2020,1
"Vitagene, Inc.",12/31/2017,8/06/2019,8/06/2019,3
Global University,12/31/2017,1/31/2018,5/08/2018,"1,017"
"Drury Hotels Company, LLC",12/28/2017,6/02/2019,05/30/2019,17
"Mindlance, Inc.",12/28/2017,12/29/2017,1/19/2018,2
Title Nine Sports,12/28/2017,7/09/2018,11/12/2018,1143
Stein Mart,12/28/2017,7/09/2018,11/13/2018,109
Francesca's Services Corporation (Francesca's),12/28/2017,7/09/2018,11/19/2018,120
Synchrony Bank,12/28/2017,7/09/2018,1/04/2019,10
Fresno State,12/26/2017,1/12/2018,3/06/2018,36
PAR Electrical Contractors,12/22/2017,12/22/2017,2/05/2018,605
Walgreens (Rite Aid),12/20/2017,4/17/2018,6/01/2018,2
Weichert Companies,12/20/2017,12/20/2017,6/11/2018,1
Vertical Limit Construction,12/19/2017,4/10/2018,7/11/2018,1
"Santa Cruz Biotechnology, Inc.",12/17/2017,12/17/2017,2/22/2018,4
"Loeb Enterprises II, LLC",12/08/2017,05/17/2018,11/06/2018,2
Ventiv Technology Inc,12/07/2017,1/04/2018,2/28/2018,2
LA Fashion (Lasula),12/07/2017,5/22/2018,8/16/2018,1
"Flexible Benefit Service Corporation (""Flex"")",12/06/2017,1/30/2018,2/14/2018,1
Thesy,12/06/2017,6/27/2018,11/05/2018,684
United Trust Company,12/06/2017,2/25/2018,11/07/2018,167
4A's Benefits,12/06/2017,12/12/2017,12/26/2018,2
San Diego County Office of Education,12/05/2017,12/05/2017,1/18/2018,1
"Makeup Geek, LLC",12/04/2017,12/19/2017,2/08/2018,7
"Welk Resort Group, Inc.",12/04/2017,12/04/2017,7/25/2018,1
Multnomah Athletic Club,12/02/2017,12/02/2017,1/02/2018,9
Children's Mercy Hospital,12/02/2017,1/04/2018,4/30/2018,3
The Board of Pensions of the Presbyterian Church (U.S.A.),12/01/2017,12/01/2017,12/11/2017,1
"KLX, Inc",12/01/2017,12/15/2017,1/31/2018,12
Advanced Technology Group,12/01/2017,12/31/2017,05/31/2018,330
talentReef Inc,11/29/2017,11/29/2017,1/09/2018,6
Farm Bureau Financial Services,11/27/2017,11/27/2017,12/08/2017,25
Capital One Bank,11/26/2017,3/27/2018,6/19/2018,7
Corporation Service Company (CSC),11/25/2017,11/25/2017,6/11/2018,503
"Titan Manufacturing and Distributing, Inc. (Titan)",11/23/2017,10/25/2018,12/07/2018,385
"CPT Group, Inc.",11/22/2017,12/08/2017,5/08/2018,22
"Eye Safety Systems, Inc.",11/21/2017,07/16/2019,08/29/2019,53
"Westminster Ingleside King Farm Presbyterian Retirement Communities, Inc.",11/21/2017,11/21/2017,1/19/2018,6
The Boeing Company,11/20/2017,12/15/2017,12/20/2017,1
"Rail Europe North America, Inc. (RENA)",11/19/2017,2/16/2018,5/07/2018,29
National Registry of Emergency Medical Technicians,11/17/2017,1/09/2018,1/25/2018,2
Bialy/Thomas & Associates,11/16/2017,11/17/2017,2/16/2018,1
SEIU 32BJ,11/13/2017,11/14/2017,5/25/2018,2
Montana State University Billings,11/11/2017,11/11/2017,1/05/2018,202
"Tommie Copper, Inc.",11/10/2017,1/22/2018,7/11/2018,136
Quest Nutrition,11/10/2017,11/10/2017,09/28/2018,1
Landcar,11/10/2017,,10/16/2018,1
"Automated Pet Care Products, Inc. (AutoPets)",11/09/2017,11/30/2017,7/24/2018,6
Academy of Art University,11/08/2017,11/08/2017,11/17/2017,3
Cetera Advisors LLC,11/08/2017,11/08/2017,1/08/2018,5
Cheddar's Scratch Kitchen,11/02/2017,1/02/2018,8/16/2018,Unknown
Capital One Bank,11/01/2017,11/30/2017,1/10/2018,1
Island Outdoor LLC,11/01/2017,2/14/2018,3/15/2018,2
"Funding Circle USA, Inc. (Dun & Bradstreet, Inc.)",11/01/2017,2/20/2018,3/30/2018,23
"Guaranteed Rate, Inc.",11/01/2017,11/30/2017,6/13/2018,2
DecisionHR,11/01/2017,12/01/2017,10/08/2018,1
Goldleaf,10/31/2017,12/01/2017,1/26/2018,26
Bigfoot Gun Belts,10/31/2017,2/01/2018,3/23/2018,16
Golter Law Office,10/31/2017,10/31/2017,4/13/2018,2
Vega,10/31/2017,3/15/2018,12/05/2018,135
Arthur Ventures Management LLC,10/30/2017,11/13/2017,1/12/2018,2
Interstate Plastics,10/27/2017,12/23/2017,3/06/2018,9
"Kayser-Roth, Inc.",10/23/2017,7/01/2017,8/09/2017,19
GreatBanc Trust Company,10/23/2017,10/27/2017,6/15/2018,71
National Capital Poison Center,10/21/2017,11/27/2017,12/08/2017,11
"MedWatch, LLC",10/20/2017,12/15/2017,4/13/2018,285
Building Profits LLC,10/19/2017,11/09/2017,4/30/2018,3
American Esoteric Laboratories (AEL),10/15/2017,10/15/2017,4/20/2018,5
Mr. Cooper,10/13/2017,10/13/2017,1/05/2018,1
Pension Fund of the Christian Church,10/12/2017,10/27/2017,1/16/2018,60
Workfront,10/10/2017,10/10/2017,10/27/2017,5
U-Haul Co. (Solo Tire),10/10/2017,11/15/2017,12/12/2017,1
Eye Physicians,10/07/2017,10/07/2017,12/07/2017,1
Bank of the West,10/05/2017,10/05/2017,12/05/2017,2
Orrstown Bank,10/03/2017,07/17/2018,08/28/2018,5
RBC Travelocity,10/03/2017,12/22/2017,01/26/2018,2
National Restaurant Association,10/02/2017,11/28/2017,6/14/2018,6
Orrston Bank,10/02/2017,7/14/2018,6/19/2018,5
Pizza Hut,10/01/2017,10/02/2017,10/16/2017,255
"Orbitz (American Express, RBC Royal Bank, Interval International, Inc., World Travel Holdings, Inc.Alaska Airline, Southwest Airline)",10/01/2017,12/22/2017,5/04/2018,634
TradeMotion,10/01/2017,5/31/2018,7/25/2018,195
Human Good,9/27/2017,9/27/2017,10/30/2017,2
Sears Holdings (Kmart.com),9/27/2017,10/12/2017,4/25/2018,268
Dutch Gardens USA,9/27/2017,7/14/2018,9/05/2018,66
Droege Computing Service,9/26/2017,9/26/2017,10/11/2017,25
Pulmonary Specialists of Louisville,9/26/2017,9/26/2017,11/28/2017,1
"Best Buy Co., Inc.",9/26/2017,10/12/2017,4/12/2018,711
Delta Air Lines,9/26/2017,10/12/2017,4/12/2018,"6,310"
"Grainger, Inc.",9/26/2017,10/12/2017,4/17/2018,65
Amazing Grass,9/22/2017,11/03/2017,11/30/2017,5
First Mariner Bank,9/21/2017,10/29/2017,2/05/2018,1
Clinical Pathology Laboratories Southeast Inc,9/20/2017,9/20/2017,3/21/2018,1
Sonic,9/18/2017,9/18/2017,10/04/2017,Unknown
"Hasbro, Inc.",9/15/2017,9/18/2017,6/29/2018,1
Employer Leasing Company,9/14/2017,9/18/2017,1/18/2018,1
WEI Mortgage,9/13/2017,9/28/2017,12/08/2017,11
Lake Champlain Chocolates,9/12/2017,9/15/2017,10/05/2017,1
"EBSCO Sign Group, Inc. (outdoorsignsamerica.com)",9/12/2017,5/18/2018,7/16/2018,4
August University,9/10/2017,9/11/2017,08/30/2018,15
Mark Schaefer Associates,9/09/2017,9/09/2017,10/16/2017,1
Stein Eriksen Lodge Hotel,9/09/2017,1/24/2018,6/01/2018,4
Tween Brands,9/07/2017,9/07/2017,11/03/2017,84
Cabrillo Community College,9/05/2017,9/05/2017,10/05/2017,6
Jacuzzi,9/01/2017,9/05/2017,9/11/2017,1
Columbia Falls School District,9/01/2017,11/13/2017,1/05/2018,Unknown
Columbia Falls School District,9/01/2017,11/13/2017,3/19/2018,1125
Fred Usinger Inc,9/01/2017,3/01/2018,3/29/2018,88
The Coca-Cola Company,9/01/2017,9/01/2017,5/21/2018,1
"Systeme Software, Inc.",9/01/2017,5/07/2018,6/07/2018,140
Pillow Pets,08/30/2017,4/09/2018,02/20/2019,15
E&J Gallo Winery,8/30/2017,8/30/2017,9/15/2017,1
IdeaStream,8/29/2017,11/03/2017,11/30/2017,1
Clifton Larson Allen,8/28/2017,8/28/2017,9/20/2017,2
PerfectServe,8/28/2017,8/28/2017,9/27/2017,1
ABB,8/25/2017,8/25/2017,9/18/2017,3
Tommie Copper,8/25/2017,9/29/2017,10/06/2017,181
"Richard Munoz, CPA",8/24/2017,8/24/2017,9/20/2017,2
Major League Lacrosse,8/23/2017,8/24/2017,9/07/2017,2
"W.W. Grainger, Inc.",8/23/2017,8/25/2017,9/18/2017,57
Aegis Living,8/22/2017,9/15/2017,10/05/2017,1
"A&A Global Imports, Inc",8/15/2017,1/04/2019,1/09/2019,456
FastHealth,8/14/2017,8/18/2017,2/27/2018,Unknown
PeaceHealth Southwest Medical Center,8/09/2017,8/09/2017,9/18/2017,1
NCI Group,8/08/2017,8/08/2017,9/22/2017,1
Lighthouse Management Services,8/05/2017,8/07/2017,10/20/2017,1
"DJI Technology, Inc.",8/03/2017,9/27/2017,12/18/2017,3
Century Martial Arts,8/01/2017,8/31/2017,9/25/2017,8
FlexShopper,8/01/2017,8/30/2017,10/03/2017,291
ABM Industries,8/01/2017,8/01/2017,3/08/2018,47
Tara at Home (Temp=Tations LLC),8/01/2017,12/01/2017,4/16/2018,6
AdventHealth Medical Group,8/01/2017,12/27/2018,1/25/2019,4
Equifax,7/29/2017,9/07/2017,3/01/2018,"377,052"
RiverMend Health,7/27/2017,8/11/2017,10/09/2017,4
Briggs & Stratton,7/25/2017,7/28/2017,9/29/2017,4
Credco,7/21/2017,8/07/2017,8/28/2017,43
Cheddar's Casual Cafe,7/21/2017,7/21/2017,9/29/2017,43
Atlantic Cigar Company,7/21/2017,8/09/2017,10/10/2017,4
West Music,7/21/2017,8/09/2017,10/13/2017,2
Medical College of Wisconsin,7/21/2017,7/28/2017,11/17/2017,1
Piersol Construction,7/19/2017,7/19/2017,8/15/2017,1
QBE North America,7/19/2017,7/21/2017,1/19/2018,921
Logan Simpson,7/17/2017,7/17/2017,8/10/2017,5
Arizona Tile,7/17/2017,8/16/2017,8/21/2017,1
SRI,7/15/2017,8/21/2017,9/07/2017,66
Crescent Mortgage Company,7/14/2017,8/05/2017,8/24/2017,18
Central Christian College of Kansas,7/11/2017,4/23/2018,6/15/2018,2
OXO International Ltd.,7/09/2017,10/16/2018,12/28/2018,31
GS1 US,7/07/2017,10/02/2018,10/25/2018,265
Wells Fargo,7/06/2017,7/06/2017,08/29/2017,17
Aero-Tech Light Bulb Co.,7/06/2017,9/06/2017,9/22/2017,1
ThermoFisher Scientific,7/06/2017,10/13/2017,3/30/2018,1
Nationstar Mortgage,7/05/2017,7/12/2017,8/31/2017,27
Hand Rehabilitation Services,7/05/2017,9/01/2017,9/01/2017,2
Avanti Markets,7/04/2017,7/04/2017,07/25/2017,Unknown
InTouch Credit Union,7/02/2017,10/10/2017,11/08/2017,6
Combat Brands,7/01/2017,10/06/2017,11/29/2017,32
City of Bozeman,7/01/2017,10/24/2017,07/16/2018,"2,651"
Apartment Management Consultants,6/29/2017,7/03/2017,7/14/2017,5
Hamilton Zanze & Company,6/29/2017,6/29/2017,7/25/2017,5
Little River Healthcare,06/26/2017,06/26/2017,11/07/2017,3
Capital One Bank,6/25/2017,2/15/2018,1/08/2019,4
Auburn University,6/23/2017,6/23/2017,7/03/2017,1
Costco,6/23/2017,6/23/2017,7/10/2017,4
MFT Stamps (Gorilla),6/22/2017,8/15/2017,12/07/2017,10
Rail Europe,6/22/2017,2/16/2018,5/30/2018,18
Morehead Memorial Hospital,6/20/2017,6/29/2017,9/15/2017,1
Salina Family Healthcare Center,06/18/2017,06/18/2017,08/16/2017,15
State Farm,6/16/2017,6/19/2017,6/29/2017,1
Bennett Thrasher LLP,6/15/2017,4/06/2018,4/30/2018,18
Pacific Science Center,6/13/2017,6/21/2017,7/10/2017,1
